date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:40:20	75027/75027	---MCZ	200	added ('OK')	text/html	etag:%229a2e9924b66e43cc98b904688e70bce4-ssl-df%22	https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09==	C:/My%20Web%20Sites/JJ/crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09==.html	(from )
12:40:23	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1681978899-ssl-df	https://crsorgi-govoiuibn.netlify.app/robots.txt		(from )
12:40:25	7942/7942	---MCZ	200	added ('OK')	text/css	etag:%22acbaa5195c133f117b03c1aa53954152-ssl-df%22	https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/css/style.css	C:/My%20Web%20Sites/JJ/crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/css/style.css	(from https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09==)
12:40:27	1090/1090	---M-Z	200	added ('OK')	text/css	etag:%2263ae0c39fea733173382e57a9c210663-ssl-df%22	https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/css/default.css	C:/My%20Web%20Sites/JJ/crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/css/default.css	(from https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09==)
12:40:29	4068/4068	---MCZ	200	added ('OK')	text/css	etag:%22034980fb4f915570aebd8de75b84f54e-ssl-df%22	https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/css/main.css	C:/My%20Web%20Sites/JJ/crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/css/main.css	(from https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09==)
12:40:30	59/59	---M--	200	added ('OK')	text/css	etag:%2283243b20af0a89c0dacf7b5218a14730-ssl%22	https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/css/jquery.ui.all.css	C:/My%20Web%20Sites/JJ/crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/css/jquery.ui.all.css	(from https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09==)
12:40:32	14845/14845	---MCZ	200	added ('OK')	text/css	etag:%22cab8fb95ed7123969dc9b055d643989e-ssl-df%22	https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/css/jquery-ui-1.10.0.custom.css	C:/My%20Web%20Sites/JJ/crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/css/jquery-ui-1.10.0.custom.css	(from https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09==)
12:40:34	24752/24752	---MCZ	200	added ('OK')	application/javascript	etag:%226f08dd75c7e0bc5f9e6515c48e581ca1-ssl-df%22	https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/js/mm_menu.js	C:/My%20Web%20Sites/JJ/crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/js/mm_menu.js	(from https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09==)
12:40:36	143880/143880	---MCZ	200	added ('OK')	application/javascript	etag:%22c1f1d193b427fedbadf94a420a09a585-ssl-df%22	https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/js/jquery-1.9.0.js	C:/My%20Web%20Sites/JJ/crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/js/jquery-1.9.0.js	(from https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09==)
12:40:37	45821/45821	---MCZ	200	added ('OK')	application/javascript	etag:%2266cbf84e8d89d095f65b9739a2aec6cd-ssl-df%22	https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/js/jquery-ui-1.10.0.custom.js	C:/My%20Web%20Sites/JJ/crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/js/jquery-ui-1.10.0.custom.js	(from https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09==)
12:40:39	2543/2543	---MCZ	200	added ('OK')	application/javascript	etag:%2280f6d13f6baa53b03bf17e6b0cb2d034-ssl-df%22	https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/js/json_parse.js	C:/My%20Web%20Sites/JJ/crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/js/json_parse.js	(from https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09==)
12:40:40	5007/5007	---MCZ	200	added ('OK')	application/javascript	etag:%22c53276cab19913a0ddf84323d0f622e0-ssl-df%22	https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/js/jquery.ui.core.js	C:/My%20Web%20Sites/JJ/crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/js/jquery.ui.core.js	(from https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09==)
12:40:42	52981/52981	---M--	200	added ('OK')	image/jpeg	etag:%22a21d8e2675b53bf95f6bcbf97d427597-ssl%22	https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/images/logo-top.jpg	C:/My%20Web%20Sites/JJ/crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/images/logo-top.jpg	(from https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09==)
12:40:44	4497/4497	---M--	200	added ('OK')	image/gif	etag:%22512b8bd0814029171f258dd2631345a7-ssl%22	https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/images/emb-forms.gif	C:/My%20Web%20Sites/JJ/crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/images/emb-forms.gif	(from https://crsorgi-govoiuibn.netlify.app/crsorgi.gov.in/web/index.php/auth/birthcertificate/view/cert/b/zgtdzlznt1y4wkzgbxn6a25mm1v5zz09==)
